Tournament,Lv,Date,Ev,Rd,Aff,Neg,Vote,Result
Texas Open,C,2022-02-05,OP,Octos,Harvard Barton & Habermann,Wake Forest Bittner & Robinson,Aff,"Aff								2-1"
Texas Open,C,2022-02-05,OP,R5,Houston Fox & Lea,Texas Healey & Noriega,Aff,
Texas Open,C,2022-02-05,OP,R4,Michigan State Meloche & Miklovis,George Mason Peake & Lowry,Aff,
Texas Open,C,2022-02-05,OP,R1,Texas Desai & Kashyap,Northwestern Park & Stamenkovic Diez,Aff,
University of Minnesota College Invitational,C,2022-01-28,Nov,R5,Nick Amore,St Mary's College SMC AT,Neg,
Brick City Round Robin,C,2022-01-21,BCRR,R3,Kentucky DG,Dartmouth BC,Neg,
Brick City Round Robin,C,2022-01-21,BCRR,R2,UC Berkeley EE,Michigan State GK,Aff,
University of Houston Cougar Classic,HS,2022-01-14,VCX,Quarts,WesHS PS,Westwo CC,Neg,"Neg								3-0"
University of Houston Cougar Classic,HS,2022-01-14,VCX,Octos,LitRoc BM,Westwo SP,Aff,"Aff								3-0"
University of Houston Cougar Classic,HS,2022-01-14,VCX,R5,Westwo SP,Coppel KN,Aff,
University of Houston Cougar Classic,HS,2022-01-14,VCX,R2,Westwo CC,LitRoc BM,Aff,
Texas Two Step Rowdy Debates In Dallas,C,2022-01-07,OpenO,R2,CenOkl Huffman & Wendland,Housto Le & Le,Aff,
Texas Two Step Rowdy Debates In Dallas,C,2022-01-07,OpenO,R1,KanSta Spond & Turner,CenOkl Luke Smith,Aff,
Texas Two Step Fear and Loathing in Dallas,C,2022-01-04,OpenO,R2,MOState Lucas & Wilkinson,UTD Karchmer & Sendejas,Aff,
Texas Two Step Fear and Loathing in Dallas,C,2022-01-04,OpenO,R1,UCO Luke Smith,JCCC Babcock & Babcock,Neg,
NY Fall Faceoff at Mamaroneck HS,HS,2021-12-03,VCX,R5,Bowie BM,Success Academy HS - Liberal Arts OB,Neg,
NY Fall Faceoff at Mamaroneck HS,HS,2021-12-03,VCX,R4,Newark Tech IA,Bronx Science MS,Neg,
NY Fall Faceoff at Mamaroneck HS,HS,2021-12-03,VCX,R2,St Mark's School of Texas SM,Lexington VH,Aff,
NY Fall Faceoff at Mamaroneck HS,HS,2021-12-03,VCX,R1,Newark Science DL,Lexington BG,Neg,
Franklin R Shirley at Wake Forest,C,2021-11-12,SHIR,RD 4,Central Oklahoma HW,Michigan State MM,Neg,
Harvard College Tournament,C,2021-10-30,NOV,R3,Pittsburgh IF,Houston AR,Neg,
Harvard College Tournament,C,2021-10-30,NOV,R1,Rochester GE,Houston LH,Neg,
JW Patterson Debates at Kentucky,C,2021-10-02,Open,R6,Georgetown LS,Liberty/Houston WK,Aff,
JW Patterson Debates at Kentucky,C,2021-10-02,Open,R4,Michigan MM,Cal State Fullerton CW,Neg,
JW Patterson Debates at Kentucky,C,2021-10-02,Open,R1,Georgetown AG,Wake Forest BT,Aff,
Northwestern University Season Opener,C,2021-09-17,Open,Quarte,Liberty CR,Harvard BH,Neg,"Neg								2-1"
Northwestern University Season Opener,C,2021-09-17,Open,Double,Harvard AH,Texas DK,Aff,"Neg								2-1"
Northwestern University Season Opener,C,2021-09-17,Open,RD 6,Harvard OY,Northwestern DP,Aff,
Northwestern University Season Opener,C,2021-09-17,JV,R4,Houston VL,Liberty HM,Neg,
Northwestern University Season Opener,C,2021-09-17,Open,RD 2,Southern California SK,Harvard AH,Aff,
CEDA Nationals at West Virginia University,C,2021-04-09,Open,Octs,Liberty WW,Wake Forest BT,Neg,"Neg								3-0"
CEDA Nationals at West Virginia University,C,2021-04-09,Open,Double,NYU ST,Johnson County Community BB,Aff,"Aff								2-1"
CEDA Nationals at West Virginia University,C,2021-04-09,Open,R3,Emporia State KS,Kansas State TT,Aff,
